Model Name,Time To First Token,Prompt Tok/s,Response Tok/s,Num Response Tokens,Avg Tokens per Chunk,Avg Time Between Chunks
gpt-4o,0.73,105.01,67.38,769,5.00,0.01
gpt-4o,0.62,124.23,62.24,935,4.68,0.02
gpt-4o,0.82,93.44,48.10,803,4.90,0.02
gpt-4o,0.55,139.49,52.90,859,4.65,0.02
gpt-4o,0.31,247.80,73.82,813,4.92,0.01
gpt-4o,1.29,59.66,59.18,833,4.77,0.02
gpt-4o,0.36,212.33,70.19,854,4.81,0.01
gpt-4o,0.42,181.18,74.43,907,4.56,0.01
gpt-4o,0.39,198.34,77.10,761,4.93,0.01
gpt-4o,0.85,90.13,72.10,876,4.77,0.01
gpt-4o,0.40,192.51,46.53,914,4.82,0.02
gpt-4o,0.68,113.04,32.43,864,4.62,0.03
gpt-4o,0.46,168.91,80.97,777,4.90,0.01
gpt-4o-mini,0.41,187.50,56.56,726,4.95,0.02
gpt-4o-mini,0.62,123.49,51.24,691,4.92,0.02
gpt-4o-mini,0.57,133.94,58.52,684,4.91,0.02
gpt-4o-mini,0.63,122.31,41.74,758,4.75,0.02
gpt-4o-mini,0.52,148.68,45.85,730,4.91,0.02
gpt-4o-mini,0.47,164.31,39.89,728,4.78,0.03
gpt-4o-mini,0.87,88.49,38.06,792,4.90,0.03
gpt-4o-mini,0.36,215.60,49.81,804,4.76,0.02
gpt-4o-mini,0.68,113.21,74.20,619,4.78,0.01
gpt-4o-mini,1.20,64.29,66.39,765,5.12,0.02
gpt-4o-mini,0.58,132.56,46.97,659,4.91,0.02
gpt-4o-mini,0.40,191.80,41.57,743,4.94,0.02
gpt-4o-mini,0.80,96.70,33.94,722,4.83,0.03
gpt-3.5-turbo,0.59,131.88,118.94,362,4.99,0.01
gpt-3.5-turbo,0.39,199.86,90.53,306,5.12,0.01
gpt-3.5-turbo,0.60,130.41,102.36,353,5.01,0.01
gpt-3.5-turbo,0.55,142.98,101.18,339,5.09,0.01
gpt-3.5-turbo,0.51,152.18,116.32,288,5.06,0.01
gpt-3.5-turbo,0.50,157.17,114.59,278,5.19,0.01
gpt-3.5-turbo,0.37,210.48,77.44,346,5.00,0.01
gpt-3.5-turbo,0.52,150.05,107.36,344,4.98,0.01
gpt-3.5-turbo,0.35,221.04,51.85,301,4.83,0.02
gpt-3.5-turbo,0.80,97.96,67.78,329,4.85,0.01
gpt-3.5-turbo,1.86,41.97,181.26,343,4.99,0.01
gpt-3.5-turbo,0.56,139.96,67.22,320,5.16,0.01
gpt-3.5-turbo,0.62,126.33,114.12,301,5.27,0.01
gpt-4,0.61,127.15,22.72,505,4.84,0.04
gpt-4,0.71,109.79,19.81,403,5.09,0.05
gpt-4,0.94,82.76,22.16,468,4.85,0.05
gpt-4,0.90,86.86,17.86,467,4.75,0.06
gpt-4,0.75,103.50,18.30,559,4.86,0.05
gpt-4,0.56,139.71,21.12,539,5.05,0.05
gpt-4,0.51,152.00,16.35,571,4.93,0.06
